X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.513500, -0.513250, 0.300000, 2.000000, SAFE, 44053.698762, 23263.849609, 3, 1695
-0.514250, -0.514000, 0.300000, 2.000000, NONE, , , , 
-0.520000, -0.519750, 0.300000, 2.000000, NONE, , , , 
-0.515000, -0.514750, 0.300000, 2.000000, NONE, , , , 
-0.507500, -0.507250, 0.300000, 2.000000, SAFE, 43636.014080, 23112.802734, 2, 1675
-0.511000, -0.510750, 0.300000, 2.000000, SAFE, 43807.772912, 23256.091797, 2, 1675
-0.513250, -0.513000, 0.300000, 2.000000, NONE, , , , 
-0.514750, -0.514500, 0.300000, 2.000000, NONE, , , , 
-0.508000, -0.507750, 0.300000, 2.000000, SAFE, 43567.486781, 23217.919922, 2, 1675
-0.508250, -0.508000, 0.300000, 2.000000, SAFE, 44335.096534, 23617.373047, 3, 1695
-0.516500, -0.516250, 0.300000, 2.000000, NONE, , , , 
-0.513750, -0.513500, 0.300000, 2.000000, SAFE, 43654.537268, 23191.361328, 3, 1695
-0.517750, -0.517500, 0.300000, 2.000000, NONE, , , , 
-0.508750, -0.508500, 0.300000, 2.000000, SAFE, 44217.437248, 23457.615234, 3, 1695
-0.521000, -0.520750, 0.300000, 2.000000, SAFE, 44918.945871, 23686.365234, 4, 1715
-0.512500, -0.512250, 0.300000, 2.000000, SAFE, 44365.891055, 23624.796875, 3, 1695
-0.519750, -0.519500, 0.300000, 2.000000, SAFE, 44675.033364, 23667.402344, 4, 1715
-0.515750, -0.515500, 0.300000, 2.000000, SAFE, 44328.964893, 23462.453125, 3, 1695
-0.517500, -0.517250, 0.300000, 2.000000, NONE, , , , 
-0.511250, -0.511000, 0.300000, 2.000000, SAFE, 44349.115289, 23520.648438, 3, 1695
-0.509500, -0.509250, 0.300000, 2.000000, SAFE, 43818.508182, 23261.617188, 2, 1675
-0.512250, -0.512000, 0.300000, 2.000000, SAFE, 44009.398567, 23371.117188, 3, 1695
-0.519250, -0.519000, 0.300000, 2.000000, NONE, , , , 
-0.515250, -0.515000, 0.300000, 2.000000, NONE, , , , 
-0.509250, -0.509000, 0.300000, 2.000000, SAFE, 43920.206636, 23302.996094, 3, 1695
-0.510500, -0.510250, 0.300000, 2.000000, NONE, , , , 
-0.509000, -0.508750, 0.300000, 2.000000, SAFE, 44071.249801, 23307.644531, 3, 1695
-0.509750, -0.509500, 0.300000, 2.000000, SAFE, 44678.778874, 23535.994141, 4, 1715
-0.518500, -0.518250, 0.300000, 2.000000, SAFE, 45056.314274, 23550.544922, 4, 1715
-0.520500, -0.520250, 0.300000, 2.000000, NONE, , , , 
-0.520250, -0.520000, 0.300000, 2.000000, NONE, , , , 
-0.513000, -0.512750, 0.300000, 2.000000, SAFE, 44215.085475, 23484.750000, 3, 1695
-0.517250, -0.517000, 0.300000, 2.000000, SAFE, 44421.375411, 23494.017578, 3, 1695
-0.507250, -0.507000, 0.300000, 2.000000, SAFE, 43932.315894, 23177.189453, 2, 1675
-0.507750, -0.507500, 0.300000, 2.000000, SAFE, 43398.429856, 23044.431641, 2, 1675
-0.514000, -0.513750, 0.300000, 2.000000, NONE, , , , 
-0.511500, -0.511250, 0.300000, 2.000000, SAFE, 44058.238904, 23317.925781, 3, 1695
-0.519000, -0.518750, 0.300000, 2.000000, SAFE, 44245.269250, 23430.724609, 3, 1695
-0.518000, -0.517750, 0.300000, 2.000000, SAFE, 44263.361126, 23438.835938, 3, 1695
-0.508500, -0.508250, 0.300000, 2.000000, SAFE, 43878.641359, 23207.921875, 2, 1675
-0.516000, -0.515750, 0.300000, 2.000000, NONE, , , , 
-0.512750, -0.512500, 0.300000, 2.000000, SAFE, 44202.852352, 23433.314453, 3, 1695
-0.512000, -0.511750, 0.300000, 2.000000, SAFE, 43884.902147, 23398.671875, 3, 1695
-0.516250, -0.516000, 0.300000, 2.000000, SAFE, 44162.407847, 23501.130859, 3, 1695
